tbl,Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low
Table 6,2016,1,31703,33316,"New York City, NY (Metropolitan Area)","Omaha, NE",1188,317.032967032967,258.281941074523,UA,0.337954939341421,282.388717948718,WN,0.214904679376083,217.499032258065
Table 6,2016,1,31703,33367,"New York City, NY (Metropolitan Area)","Quad Cities, IL (Metropolitan Area)",908,65.0549450549451,230.786824324324,UA,0.510135135135135,236.883774834437,DL,0.358108108108108,225.073113207547
Table 6,2016,1,31703,33570,"New York City, NY (Metropolitan Area)","San Diego, CA",2481,1866.15384615385,311.70943940643,UA,0.271876104110234,407.414489928525,B6,0.216405605935697,241.217714285714
Table 6,2016,1,31703,33667,"New York City, NY (Metropolitan Area)","Norfolk, VA (Metropolitan Area)",337,253.956043956044,280.237732583297,AA,0.395499783643444,276.784901531729,AA,0.395499783643444,276.784901531729
Table 6,2016,1,31703,33728,"New York City, NY (Metropolitan Area)","Pensacola, FL",1063,114.725274725275,269.494731800766,DL,0.554597701149425,269.273056994819,DL,0.554597701149425,269.273056994819
Table 6,2016,1,31703,33851,"New York City, NY (Metropolitan Area)","Oklahoma City, OK",1381,252.087912087912,240.276634699215,AA,0.305579773321709,274.488587731812,WN,0.212728857890148,195.560245901639
Table 6,2016,1,31703,34027,"New York City, NY (Metropolitan Area)","West Palm Beach/Palm Beach, FL",1077,6399.67032967033,204.080368150832,B6,0.475745659975617,204.397527611348,UA,0.226745883201401,197.122241575161
Table 6,2016,1,31703,34057,"New York City, NY (Metropolitan Area)","Portland, OR",2482,804.615384615385,289.337312209779,DL,0.380633706637531,309.948905633297,B6,0.143130292269872,226.186736641221
Table 6,2016,1,31703,34100,"New York City, NY (Metropolitan Area)","Philadelphia, PA",130,39.6703296703297,279.286703601108,AA,0.742382271468144,290.190671641791,DL,0.254847645429363,248.836956521739
Table 6,2016,1,31703,34108,"New York City, NY (Metropolitan Area)","Peoria, IL",837,35.9340659340659,261.264831804281,UA,0.467889908256881,274.298692810458,DL,0.238532110091743,238.094871794872
Table 6,2016,1,31703,34236,"New York City, NY (Metropolitan Area)","Paso Robles/San Luis Obispo, CA",2556,25.8241758241758,451.904255319149,UA,0.582978723404255,498.814598540146,AA,0.365957446808511,383.212790697674
