matches,team,year
32,frc2655,2013
20,frc2449,2010
38,frc1880,2017
7,frc2008,2009
9,frc3387,2016
9,frc5566,2015
57,frc4918,2017
8,frc1886,2008
13,frc1569,2011
12,frc1751,2006
11,frc3358,2012
32,frc4994,2014
10,frc3212,2014
22,frc2147,2008
31,frc1516,2009
8,frc2106,2008
70,frc2064,2015
18,frc2473,2016
17,frc1690,2014
9,frc2029,2009
30,frc5735,2016
10,frc2173,2010
8,frc1268,2008
7,frc3016,2009
24,frc5622,2015
20,frc1655,2006
38,frc93,2006
13,frc1628,2005
20,frc548,2007
9,frc1766,2010
10,frc3000,2012
79,frc5406,2017
56,frc4003,2014
27,frc5213,2014
11,frc2472,2010
29,frc4998,2014
24,frc3936,2017
99,frc16,2012
13,frc3533,2012
10,frc3465,2014
37,frc1714,2011
31,frc3681,2015
9,frc2259,2008
47,frc2996,2014
27,frc3410,2014
11,frc1661,2008
50,frc639,2014
45,frc3693,2017
56,frc3528,2012
11,frc4695,2014
28,frc453,2006
9,frc4360,2012
10,frc1994,2010
10,frc1847,2013
10,frc3598,2011
16,frc2227,2016
8,frc2513,2017
10,frc938,2010
11,frc1339,2012
29,frc2605,2017
25,frc241,2011
38,frc1388,2008
24,frc6087,2016
27,frc687,2010
10,frc3695,2013
31,frc3712,2014
10,frc2658,2010
8,frc6147,2016
80,frc1023,2012
18,frc3785,2013
37,frc1251,2006
34,frc1902,2017
49,frc226,2009
12,frc60,2010
12,frc4042,2012
22,frc4093,2016
14,frc4591,2015
26,frc6101,2016
37,frc2809,2012
29,frc1726,2017
8,frc5348,2017
19,frc2969,2011
55,frc1540,2015
10,frc4225,2014
10,frc73,2010
23,frc447,2011
12,frc1955,2011
2,frc1839,2007
42,frc2815,2011
18,frc2544,2008
21,frc1014,2011
22,frc709,2006
23,frc23,2012
11,frc1329,2009
6,frc2214,2010
12,frc3388,2013
76,frc2135,2014
20,frc5437,2015
23,frc94,2006
23,frc3117,2012
72,frc4143,2015
12,frc5106,2014
7,frc340,2005
20,frc1221,2012
10,frc5727,2015
12,frc773,2005
10,frc996,2013
43,frc5410,2016
9,frc2835,2010
12,frc3660,2011
31,frc2191,2013
40,frc1646,2013
10,frc1429,2005
26,frc3293,2017
12,frc1554,2006
15,frc1729,2010
20,frc1583,2012
11,frc2007,2009
26,frc5530,2015
8,frc640,2012
14,frc2073B,2016
12,frc1825,2010
57,frc56,2013
51,frc525,2014
29,frc3586,2014
9,frc1379,2014
17,frc1760,2014
28,frc116,2015
12,frc2119,2008
12,frc841,2005
9,frc1164,2007
18,frc1398,2009
41,frc537,2010
38,frc476,2011
35,frc263,2012
8,frc613,2008
11,frc4184,2012
9,frc2657,2009
24,frc5708,2016
35,frc125,2007
21,frc1748,2007
14,frc3029,2010
11,frc1801,2010
12,frc3499,2012
34,frc4851,2017
13,frc2922,2013
22,frc5273,2017
9,frc1028,2005
21,frc174,2011
8,frc1864,2008
26,frc6630,2017
32,frc329,2010
12,frc2864,2010
14,frc2438,2014
23,frc1967,2010
8,frc3058,2013
15,frc1815,2010
9,frc4622,2016
9,frc3145,2012
12,frc1693,2005
21,frc1230,2008
19,frc5582,2015
24,frc4507,2013
10,frc1824,2012
12,frc4244,2014
24,frc2620,2017
49,frc604,2016
13,frc3588,2012
29,frc4161,2014
14,frc145,2017
20,frc2874,2015
9,frc1366,2005
9,frc5597,2017
12,frc1827,2006
17,frc4091,2013
39,frc5802,2017
24,frc468,2017
25,frc801,2017
8,frc1087,2005
14,frc5983,2017
29,frc830,2017
7,frc1544,2009
35,frc2574,2016
25,frc812,2009
18,frc5541,2016
26,frc610,2008
21,frc6682,2017
27,frc5084,2017
46,frc4906,2016
8,frc2336,2008
10,frc3177,2011
7,frc3071,2009
33,frc3288,2015
12,frc5432,2016
41,frc3546,2014
17,frc3812,2013
13,frc3052,2012
12,frc1860,2011
10,frc2051,2012
9,frc3038,2015
17,frc4153,2012
23,frc4451,2014
18,frc253,2012
9,frc1692,2012
9,frc4957,2017
11,frc1704,2008
10,frc1827,2015
28,frc4464,2013
31,frc4159,2015
9,frc1561,2013
10,frc117,2016
13,frc2441,2009
10,frc97,2012
11,frc4753,2015
30,frc4914,2016
25,frc868,2005
64,frc5431,2016
9,frc1408,2006
13,frc284,2006
26,frc2048,2017
22,frc3718,2013
28,frc3452,2012
8,frc5275,2016
8,frc1524,2006
10,frc3270,2015
12,frc6426,2017
9,frc3581,2014
17,frc5126,2017
14,frc1225,2010
32,frc5123,2017
13,frc1099,2008
22,frc2199,2012
9,frc1789,2006
26,frc5975,2016
20,frc1828,2017
38,frc2587,2017
19,frc4186,2017
63,frc1477,2012
12,frc4739,2016
13,frc5052,2013
33,frc3354,2014
36,frc1747,2014
9,frc4230,2015
32,frc809,2008
49,frc254,2008
22,frc1261,2005
24,frc2107,2016
28,frc94,2015
9,frc3221,2013
24,frc709,2015
20,frc1781,2016
22,frc3045,2014
13,frc4604,2016
28,frc945,2010
22,frc3328,2017
72,frc1391,2017
14,frc1540,2006
11,frc4031,2014
7,frc2402,2009
28,frc5933,2016
36,frc3061,2016
10,frc2343,2010
11,frc2902,2009
28,frc379,2005
9,frc2143,2011
49,frc5243,2016
22,frc116,2006
27,frc5254,2017
28,frc3335,2012
10,frc4306,2017
11,frc2901,2010
14,frc437,2009
12,frc28,2011
9,frc5049,2017
43,frc3538,2012
24,frc53,2016
9,frc3224,2013
38,frc3260,2017
10,frc496,2011
14,frc3006,2011
9,frc1554,2015
9,frc4025,2012
24,frc4454,2015
24,frc5704,2016
10,frc5076,2016
10,frc1850,2011
10,frc3525,2011
24,frc5067,2014
19,frc1209,2013
101,frc3663,2016
28,frc3796,2017
27,frc1332,2013
20,frc3932,2015
12,frc4152,2016
21,frc2642,2013
11,frc4581,2013
44,frc4130,2013
71,frc1923,2013
10,frc5325,2016
43,frc148,2011
22,frc306,2014
7,frc1656,2007
11,frc2234,2010
14,frc250,2010
19,frc2164,2011
28,frc453,2015
11,frc4344,2012
10,frc462,2011
14,frc4039,2012
14,frc3325,2012
24,frc5014,2015
18,frc238,2012
26,frc5204,2015
9,frc2357,2012
14,frc1323B,2014
8,frc2470,2013
9,frc4942,2017
37,frc5181,2016
28,frc4932,2017
25,frc1912,2007
9,frc3848,2011
29,frc343,2016
8,frc1195,2013
10,frc4135,2012
86,frc1676,2012
10,frc1603,2005
