District,State Country,Location,Team #,Related team #'s,Most Recent Yr,Rookie Year,Lat/Lon,Accurate Coord,school name,Name,Notes,
PA-nonMAR,PA,"Erie, PA ",63,A159,2016,1997,"42.072584,-80.146878",1,,Millcreek Township School District/GE Volunteers & Mcdowell Hs ,,
#N/A,AZ,"Mesa, AZ ",64,"39,1013",2005,1998,"33.245447,-111.605591",1,,General Motors - DPG/General Motors Desert Proving Ground & Queen Creek High School,,
MI,MI,"Pontiac, MI ",65,"51,A160",2009,1997,"42.635005,-83.287425",1,,GM Powertrain & Pontiac Northern High School,,
MI,MI,"Ypsilanti, MI ",66,470,2016,1998,"42.25232,-83.57043",1,,General Motors Corp/Michigan Department of Education/ZF & Ypsilanti STEMM Middle College ,,
MI,MI,"Milford, MI ",67,A161,2016,1997,"42.61694,-83.61929",1,,General Motors Milford Proving Ground & Huron Valley Schools ,,
MI,MI,"Pontiac, MI ",68,"A120, 1010",2016,1998,"42.837375,-83.440275",1,,General Motors/Michigan Department of Education/Fiat Chrysler Automobiles Foundation/Esys Automation/Continental Automotive Systems/ARL Service/Cross the Road Electronics/Michigan Renaissance Festival/CEC Controls & Brandon High School & Holly High School ,,
NE,MA,"Boston, MA ",69,A117,2016,1996,"42.252858, -71.000739",1,,Bluefin Robotics & Quincy Public Schools ,,
MI,MI,"Flint, MI ",70,494,2016,1998,"43.079185,-83.716467",1,,General Motors/State of Michigan/Fiat Chrysler Automotive Foundation/Kettering University/Patti Engineering/Leoni/Midstates Bolt & Screw Co./Burkland/Mid Michigan Robotics Alliance & Goodrich High School ,,
IN,IN,"Hammond, IN ",71,A101,2016,1996,"41.622054,-87.504357",1,,School City of Hammond / Caterpillar / City of Hammond / Bemcor International & Area Career Center ,,
#N/A,NC,"Charlotte, NC ",72,A90,1998,1995,"35.235664,-80.903185",1,,Harding University HS/ Precision Dynamics,,
,NY,"Rochester, NY",73,"A33,3838",2016,1993,"43.177926,-77.672384",1,,"ME Engineering/RIT FIRST Club/Ron Zarrella & Rochester Science, Technology, Engineering and Mat ",School pulled the plug: ,
MI,MI,"Holland, MI ",74,A78,2016,1995,"42.787482,-86.113418",1,,Haworth Inc. / PTC / SpinDance / EBW Electronics / Disher Design and Development / Magna / Brain and Spine Center / Profile Films / Trans-Matic / River City Metals / Russells Technical Products / A.D. Bos Vending Services & Holland High School & Black River Public School ,,
MAR,NJ,"Skillman, NJ ",75,"A103, 1403, 2016",2016,1996,"40.496646,-74.654127",1,,J&J Consumer and Personal Products Worldwide - & Hillsborough High ,,
#N/A,NJ,"Monmouth Jct., NJ",76,A162,1998,1997,"40.372705,-74.564402",1,,Hitachi America/ Tech Abrasive Supply Company/ GR Technical Services & South Brunswick HS,,
#N/A,TX,"Conroe, TX",77,275,1998,1998,"30.170123,-95.443839",1,,Hitachi Construction Machinery America / NASA / Sani-Weld & Oak Ridge HS,,
NE,RI,"Newport County, RI",78,121,2016,2010,"41.71217,-71.48912",0,,Naval Undersea Warfare Center / The de Ramel Foundation / DOD STEM / BAE Systems / CVS Health Foundation / KVH Industries / Raytheon / Rite-Solutions & Aquidneck Island Robotics 4-H Club ,4H,
,FL,"Clearwater, FL ",79,,2016,1998,"28.127878,-82.701923",1,,"Honeywell Aerospace/Career Technical Education Foundation, Inc./GE & East Lake High School ",,
#N/A,AZ,"Phoenix, AZ ",80,A47,2005,1994,"33.566201,-112.125556",1,,DeVry University & Cortez High School,,
,IL,"Freeport, IL ",81,A48,2016,1994,"42.289426,-89.628888",1,,Honeywell/Freeport School District 145/Ultrasonic Power Corporation/Trez Turning/Morse Electric/Kiwanis Clubs of Freeport/RestorX/Papa Murphy's/Atkins Energy/Culver's of Freeport & Freeport High School & Lena-Winslow High School ,,
#N/A,CA,"Hermosa Beach, CA ",82,"A1,330",1998,1997,"33.785167,-117.976905",1,,"Hughes Space and Communications Company/ J & F Machine, Inc.& Hope Chapel Academy",,
#N/A,WA,"Mukilteo, WA US",83,A43,1998,1994,"47.900664,-122.30356",1,,Hughes Aircraft - Marine Systems & Kamiak HS,,
MAR,PA,"Towanda, PA ",84,143,2010,1998,"41.77295,-76.448562",1,,DuPont/NE PA Tech Prep Consortium & Athens Area School District & Northeast Bradford School District & Towanda Area School District & Troy Area School District,,
MI,MI,"Zeeland, MI ",85,A137,2016,1996,"42.830802,-86.026822",1,,"Herman Miller Foundation/System Components, Inc/Trans-matic/NUVAR Incorporated/ITW Drawform/Request Foods/Lakeshore Cutting/Mead Johnson Nutritionals/ODL/Gentex/Midway Machine Techlologies/Town & Country Group/Plascore/Consumers Energy/Global Concepts & Zeeland West High School & Zeeland East High School ",,
,FL,"Jacksonville, FL ",86,A105,2016,1996,"30.351696, -81.672837",1,,"JEA/VISTAKON Johnson and Johnson Vision Care Products/Black and Veatch Engineering/Johnson Controls, Inc. & Stanton College Preparatory ",,
MAR,NJ,"Mt. Holly, NJ ",87,"A163, 816",2016,1997,"40.003632,-74.780804",1,,Lockheed Martin/COMCAST/NAVSEA & NDEP/CPS Metals/AndyMark/Chick-Fil-A & Rancocas Valley Reg H ,,
NE,MA,"Bridgewater, MA ",88,A118,2016,1996,"41.988804,-70.987136",1,,Harpak-ULMA / Highland Power Corp & Bridgewater-Raynham Reg ,,
#N/A,PA,"Clairton, PA ",89,A164,2001,1997,"40.300697,-79.922237",1,,Johnson & Johnson/University of Pittsburgh & Steel Center Vocational Technical School & TECH-LINK Program of Pittsburgh ,,
#N/A,NH,"Salem, NH",90,A49,1999,1994,"42.779642,-71.210192",1,,Johnson & Johnston Associates & Salem HS,,
#N/A,SC,"Greenville, SC",91,"A165,281,507",1998,1997,"34.807024,-82.337251",1,,Kemet Electronics Corporation/ Advanced Automation/ Greenville Technical College & JL Mann HS & Carolina Academy & Riverside HS,,
