"key","name","event_code","event_type","city","state_prov","country","start_date","end_date","year","district.display_name","district.key","district.year","district.abbreviation","lat","long"
"2016micen","FIM District - Center Line Event","micen",1,"Center Line","MI","USA","2016-03-17","2016-03-19",2016,"Michigan","2016fim",2016,"fim",,
"2016micmp","Michigan State Championship","micmp",2,"Grand Rapids","MI","USA","2016-04-13","2016-04-16",2016,"Michigan","2016fim",2016,"fim",,
"2016miesc","FIM District - Escanaba Event","miesc",1,"Escanaba","MI","USA","2016-03-17","2016-03-19",2016,"Michigan","2016fim",2016,"fim",,
"2016mihow","FIM District - Howell Event","mihow",1,"Howell","MI","USA","2016-03-31","2016-04-02",2016,"Michigan","2016fim",2016,"fim",,
"2016mike2","FIM District - Kettering University Event #2","mike2",1,"Flint","MI","USA","2016-03-10","2016-03-12",2016,"Michigan","2016fim",2016,"fim",43.0125274,-83.6874562
"2016miken","FIM District - East Kentwood Event","miken",1,"Kentwood","MI","USA","2016-03-31","2016-04-02",2016,"Michigan","2016fim",2016,"fim",,
"2016miket","FIM District - Kettering University Event #1","miket",1,"Flint","MI","USA","2016-03-03","2016-03-05",2016,"Michigan","2016fim",2016,"fim",,
"2016milak","FIM District - Lakeview Event","milak",1,"Battle Creek","MI","USA","2016-03-10","2016-03-12",2016,"Michigan","2016fim",2016,"fim",42.3211522,-85.17971419999999
"2016milan","FIM District - Lansing Event","milan",1,"Mason","MI","USA","2016-03-24","2016-03-26",2016,"Michigan","2016fim",2016,"fim",,
"2016miliv","FIM District - Livonia Event","miliv",1,"Livonia","MI","USA","2016-03-24","2016-03-26",2016,"Michigan","2016fim",2016,"fim",,
"2016milsu","FIM District - Lake Superior State University Event","milsu",1,"Sault Ste. Marie","MI","USA","2016-03-31","2016-04-02",2016,"Michigan","2016fim",2016,"fim",,
"2016mimar","FIM District - Marysville Event","mimar",1,"Marysville","MI","USA","2016-03-24","2016-03-26",2016,"Michigan","2016fim",2016,"fim",,
"2016mimid","FIM District - Midland Event","mimid",1,"Midland","MI","USA","2016-03-17","2016-03-19",2016,"Michigan","2016fim",2016,"fim",43.6155825,-84.2472116
"2016mirc","ROBO-CON Festival of Robotics and STEM Learning","mirc",99,"Michigan","MI","USA","2016-07-23","2016-07-23",2016,,,,,,
"2016misjo","FIM District - St. Joseph Event","misjo",1,"Saint Joseph","MI","USA","2016-03-10","2016-03-12",2016,"Michigan","2016fim",2016,"fim",,
"2016misou","FIM District - Southfield Event","misou",1,"Southfield","MI","USA","2016-03-03","2016-03-05",2016,"Michigan","2016fim",2016,"fim",,
"2016mista","FIM District - Standish-Sterling Event","mista",1,"Standish","MI","USA","2016-03-03","2016-03-05",2016,"Michigan","2016fim",2016,"fim",,
"2016mitry","FIM District - Troy Event","mitry",1,"Troy","MI","USA","2016-03-31","2016-04-02",2016,"Michigan","2016fim",2016,"fim",,
"2016mitvc","FIM District - Traverse City Event","mitvc",1,"Traverse City","MI","USA","2016-04-07","2016-04-09",2016,"Michigan","2016fim",2016,"fim",,
"2016miwat","FIM District - Waterford Event","miwat",1,"Waterford Township","MI","USA","2016-03-03","2016-03-05",2016,"Michigan","2016fim",2016,"fim",,
"2016miwmi","FIM District - West Michigan Event","miwmi",1,"Allendale Charter Township","MI","USA","2016-03-24","2016-03-26",2016,"Michigan","2016fim",2016,"fim",,
"2016mndu","Lake Superior Regional","mndu",0,"Duluth","MN","USA","2016-03-02","2016-03-05",2016,,,,,,
"2016mndu2","Northern Lights Regional","mndu2",0,"Duluth","MN","USA","2016-03-02","2016-03-05",2016,,,,,,
"2016mngggt","Gitchi Gummi Get Together","mngggt",99,"Minnesota","MN","USA","2016-07-29","2016-07-30",2016,,,,,46.729553,-94.6858998
