"event_name","event_name_analyzed","event_code","fk_program_seasons","event_subtype","event_subtype_moniker","event_type","event_venue","event_venue_sort","event_venue_analyzed","event_stateprov","event_country","event_city","event_address1","event_address2","date_end","date_start","event_postalcode","event_season","capacity_total","event_web_url","flag_bag_and_tag_event","program_code_display","program_name","flag_display_in_vims","ff_event_type_sort_order","countryCode","open_capacity","event_fee_currency","hotel_document","id","lat","lon","event_venue_room","event_fee_base","community_event_contact_name_first","community_event_contact_name_last","community_event_contact_email"
"CHS District - Hampton Roads Event sponsored by Newport News Shipbuilding","CHS District - Hampton Roads Event sponsored by Newport News Shipbuilding","VAPOR",235,"Qualifying Event","District Event","FRC","Churchland High School","Churchland High School","Churchland High School","VA","USA","Portsmouth","4301 Cedar Lane",,"2017-03-19T00:00:00","2017-03-17T00:00:00","23703",2017,40,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",11,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22685,36.866685,-76.387575,,0,"","",
"CHS District - Northern Maryland Event","CHS District - Northern Maryland Event","MDOWI",235,"Qualifying Event","District Event","FRC","McDonogh School","McDonogh School","McDonogh School","MD","USA","Owings Mills","8600 McDonogh Road",,"2017-03-19T00:00:00","2017-03-17T00:00:00","21117",2017,40,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22683,39.428406,-76.769758,,,,,
"CHS District - Northern Virginia Event sponsored by Bechtel","CHS District - Northern Virginia Event sponsored by Bechtel","VAHAY",235,"Qualifying Event","District Event","FRC","Battlefield High School","Battlefield High School","Battlefield High School","VA","USA","Haymarket","15000 Graduation Drive",,"2017-03-05T00:00:00","2017-03-03T00:00:00","20169",2017,40,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",1,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22495,38.872792,-77.660457,"",0,"","",
"CHS District - Southwest Virginia Event","CHS District - Southwest Virginia Event","VABLA",235,"Qualifying Event","District Event","FRC","Blacksburg High School","Blacksburg High School","Blacksburg High School","VA","USA","Blacksburg","3401 Bruin Lane",,"2017-03-05T00:00:00","2017-03-03T00:00:00","24060",2017,38,"http://www.firstchesapeake.org",true,"FRC","FIRST Robotics Competition",true,200,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22469,37.229033,-80.414886,"",0,"","",""
"Central Illinois Regional","Central Illinois Regional","ILPE",235,"Regional","Regional","FRC","Renaissance Coliseum - Bradley University","Renaissance Coliseum - Bradley University","Renaissance Coliseum - Bradley University","IL","USA","Peoria","1600 W. Main Street",,"2017-03-18T00:00:00","2017-03-15T00:00:00","61625",2017,40,"http://www.firstillinoisrobotics.org/frc/events/central-illinois-regional/",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22645,40.845091,-89.582017,,0,"","",
"Central Valley Regional","Central Valley Regional","CAMA",235,"Regional","Regional","FRC","Madera South High School","Madera South High School","Madera South High School","CA","USA","Madera","705 W. Pecan Avenue",,"2017-03-12T00:00:00","2017-03-09T00:00:00","93637",2017,48,"http://www.cvrobotics.org/frc/regional.html",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22583,36.958261,-120.070035,"",0,"","",""
"Colorado Regional","Colorado Regional","CODE",235,"Regional","Regional","FRC","University of Denver - Daniel L. Ritchie Center","University of Denver - Daniel L. Ritchie Center","University of Denver - Daniel L. Ritchie Center","CO","USA","Denver","2201 East Asbury Ave",,"2017-03-25T00:00:00","2017-03-22T00:00:00","80210",2017,54,"http://coloradofirst.org/COFIRST/programs/frc/colorado-regional/",true,"FRC","FIRST Robotics Competition",true,3,"US",6,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22519,39.675422,-104.96163,"",0,"","",""
"Dallas Regional","Dallas Regional","TXDA",235,"Regional","Regional","FRC","Irving Convention Center","Irving Convention Center","Irving Convention Center","TX","USA","Irving","500 West Las Colinas Boulevard  ",,"2017-03-11T00:00:00","2017-03-08T00:00:00","75039",2017,55,"http://www.DallasFRC.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22549,32.888686,-96.943428,"",0,"","",
"FIM District - Ann Arbor Pioneer Event","FIM District - Ann Arbor Pioneer Event","MIANN",235,"Qualifying Event","District Event","FRC","Pioneer High School","Pioneer High School","Pioneer High School","MI","USA","Ann Arbor","601 West Stadium Boulevard",,"2017-03-11T00:00:00","2017-03-09T00:00:00","48103",2017,40,"http://www.firstinmichigan.org",true,"FRC","FIRST Robotics Competition",true,200,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22717,42.27078,-83.80866,,0,"","",
"FIM District - Center Line Event","FIM District - Center Line Event","MICEN",235,"Qualifying Event","District Event","FRC","Center Line High School","Center Line High School","Center Line High School","MI","USA","Center Line","26300 Arsenal",,"2017-03-11T00:00:00","2017-03-09T00:00:00","48015",2017,40,"http://www.firstinmichigan.org",true,"FRC","FIRST Robotics Competition",true,200,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22559,42.480245,-83.025107,"",0,"","",
"South Pacific Regional","South Pacific Regional","AUSP",235,"Regional","Regional","FRC","Sydney Olympic Park Sports Centre","Sydney Olympic Park Sports Centre","Sydney Olympic Park Sports Centre","NSW","Australia","Sydney Olympic Park","Olympic Boulevard",,"2017-03-18T00:00:00","2017-03-16T00:00:00","2127",2017,50,"https://firstaustralia.org/",true,"FRC","FIRST Robotics Competition",true,3,"AU",7,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",25509,-33.8396,151.0545,,,,,
"Southern Cross Regional","Southern Cross Regional","AUSC",235,"Regional","Regional","FRC","Sydney Olympic Park Sports Centre","Sydney Olympic Park Sports Centre","Sydney Olympic Park Sports Centre","NSW","Australia","Sydney Olympic Park","Olympic Boulevard",,"2017-03-15T00:00:00","2017-03-13T00:00:00","2127",2017,50,"https://firstaustralia.org/",true,"FRC","FIRST Robotics Competition",true,3,"AU",20,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",25511,-33.8396,151.0545,,,,,
"St. Louis Regional","St. Louis Regional","MOSL",235,"Regional","Regional","FRC","Chaifetz Arena","Chaifetz Arena","Chaifetz Arena","MO","USA","St. Louis","1 S. Compton Ave",,"2017-03-11T00:00:00","2017-03-08T00:00:00","63103",2017,52,"http://www.stlfirst.org/",true,"FRC","FIRST Robotics Competition",true,3,"US",0,"USD","http://www.usfirst.org/roboticsprograms/frc/travel-discounts",22475,38.633829,-90.213138,"",0,"","",
